neck_angle,torso_angle,shoulders_offset,relative_neck_angle,good_posture
47,12,36.796738985948195,35,False
45,13,40.36087214122113,32,False
46,10,33.24154027718932,36,False
45,6,30.066592756745816,39,False
48,4,35.17101079013795,44,False
54,7,18.439088914585774,47,False
51,11,38.27531841800928,40,False
52,13,42.720018726587654,39,False
42,20,56.22277118748239,22,False
41,20,59.07622195096772,21,False
42,20,57.14017850864661,22,False
43,20,49.64876634922564,23,False
42,21,51.78802950489621,21,False
45,20,46.486557196677836,25,False
38,16,47.20169488482379,22,False
36,14,52.69724850502159,22,False
36,14,54.91812087098393,22,False
48,10,31.76476034853718,38,False
50,12,29.832867780352597,38,False
51,11,30.265491900843113,40,False
57,13,15.556349186104045,44,False
56,15,21.095023109728988,41,False
52,16,26.870057685088806,36,False
51,16,25.238858928247925,35,False
51,16,24.186773244895647,35,False
50,15,24.596747752497688,35,False
52,16,25.059928172283335,36,False
53,16,26.1725046566048,37,False
53,16,27.16615541441225,37,False
54,16,26.0,38,False
55,17,24.331050121192877,38,False
55,17,24.020824298928627,38,False
57,19,30.0,38,False
59,18,34.0,41,False
57,17,31.575306807693888,40,False
57,17,29.274562336608895,40,False
59,16,29.017236257093817,43,False
58,16,30.066592756745816,42,False
53,14,35.35533905932738,39,False
51,15,37.0,36,False
53,14,36.22154055254967,39,False
40,20,53.46026561849464,20,True
45,20,51.24451190127583,25,False
43,20,53.150729063673246,23,False
44,17,44.10215414239989,27,False
46,15,39.408120990476064,31,False
46,17,41.10960958218893,29,False
47,17,40.607881008493905,30,False
48,16,38.600518131237564,32,False
48,17,37.64306044943742,31,False
52,17,36.05551275463989,35,False
57,18,39.05124837953327,39,False
60,17,48.093658625644196,43,False
60,16,46.09772228646444,44,False
60,16,46.17358552246078,44,False
60,16,45.39823785126467,44,False
57,16,45.39823785126467,41,False
51,18,30.4138126514911,33,False
51,18,32.01562118716424,33,False
62,18,48.05205510693585,44,False
66,18,54.230987451824994,48,False
68,18,55.0,50,False
59,18,43.68065933568311,41,False
57,18,43.93176527297759,39,False
53,20,36.235341863986875,33,False
53,20,39.35733730830886,33,False
49,20,41.10960958218893,29,False
50,21,41.400483088968905,29,False
6,14,67.02984409947557,8,True
3,9,72.56031973468694,6,True
5,3,69.72087205421343,2,True
10,2,19.924858845171276,8,True
17,2,13.0,15,True
16,3,13.341664064126334,13,True
49,1,42.80186911806539,48,False
55,3,45.967379738244816,52,False
55,2,46.400431032480725,53,False
49,4,42.5440947723653,45,False
53,2,48.27007354458868,51,False
50,3,40.0,47,False
65,1,61.91122676865643,64,False
69,0,71.58910531638176,69,False
69,0,66.70832032063167,69,False
69,0,64.66065264130884,69,False
68,0,55.86591089385369,68,False
67,0,51.73973328110612,67,False
81,6,24.351591323771842,75,False
81,11,18.681541692269406,70,False
83,12,24.08318915758459,71,False
51,8,52.81098370604357,43,False
48,7,53.150729063673246,41,False
50,7,52.23983154643591,43,False
69,15,16.492422502470642,54,False
70,19,11.045361017187261,51,False
68,22,9.219544457292887,46,False
68,25,18.24828759089466,43,False
76,27,9.219544457292887,49,False
78,28,16.401219466856727,50,False
88,32,23.323807579381203,56,False
93,30,22.67156809750927,63,False
94,32,25.45584412271571,62,False
54,25,39.824615503479755,29,False
40,24,50.566787519082126,16,True
42,24,41.593268686170845,18,True
42,22,40.80441152620633,20,True
43,18,39.59797974644666,25,False
45,19,38.2099463490856,26,False
62,21,47.885279575251516,41,False
63,23,67.23094525588644,40,False
64,24,63.06346010171025,40,False
36,22,55.31726674375732,14,True
28,23,47.0,5,True
25,21,45.044422518220834,4,True
11,18,79.55501241279521,7,True
23,14,47.75981574503821,9,True
19,14,54.120236510939236,5,True
21,11,40.024992192379,10,True
45,3,13.45362404707371,42,False
34,7,15.811388300841896,27,False
29,6,28.442925306655784,23,False
33,5,25.709920264364882,28,False
29,5,28.861739379323623,24,False
8,0,54.147945482723536,8,True
13,-2,36.49657518178932,15,True
11,-3,42.2965719651132,14,True
